,Year Published,Book Title
0,2014,Android programming [electronic resource] : pushing the limits / Erik Hellman.
1,2013,CUDA programming [electronic resource] : a developer's guide to parallel computing with GPUs / Shane Cook.
2,2014,"Professional iOS programming [electronic resource] / Peter van de Put ; technical editor, Abhishek Mishra."
3,2014,Beginning iOS programming [electronic resource] : building and deploying iOS applications / Nick Harris.
4,2015,"Beginning Swift programming / Wei-Meng Lee ; technical editor, Chaim Krause."
5,2013,"Programming with JavaScript [electronic resource] : algorithms and applications for desktop and mobile browsers / John David Dionisio, Ray Toal."
6,2012,"Programming Microsoft's clouds [electronic resource] : Windows Azure and Office 365 / Thomas Rizzo ... [et al.] ; technical editors, Kayode Dada, Hilton Giesenow."
7,2002,Programming VB.NET [electronic resource] : a guide for experienced programmers / Gary Cornell and Jonathan Morrison.
8,2009,iPhone SDK programming [electronic resource] : developing mobile applications for Apple iPhone and iPod Touch / Maher Ali.
9,2009,"Semantic Web programming [electronic resource] / John Hebeler ... [et al.] ; technical editors, Mike Dean, Mike Smith."
10,2008,"Expert Python programming [electronic resource] : learn best practices to designing, coding, and distributing your Python software / Tarek Ziadé ; reviewers, Shannon -jj Behrens, Paul Kennedy, Wendy Langer ; technical editor, Siddharth Mangarole."
11,2007,Professional WCF programming [electronic resource] : .NET development with the Windows communication foundation / Scott Klein.
12,2015,"Web programming with Dart / Moises Belchin, Patricia Juberias ; technical reviewer, Matthew Butler."
13,2002,"Advanced .NET programming [electronic resource] / Simon Robinson ; technical editors, Douglas Paterson, Julian Skinner."
14,2002,Curl programming bible [electronic resource] / Nikhil Damle ... [et al.]
15,2002,Enterprise JMS programming [electronic resource] / Shaun Terry.
16,2011,"Beginning Android tablet programming [electronic resource] : starting with Android Honeycomb for tablets / Robbie Matthews ; technical reviewer, Stephen Bull."
17,2013,"Professional Windows 8 programming [electronic resource] : application development with C# and XAML / Nick Lecrenski ... [et al.] ; technical editors, John Box, Frank La Vigne, Don Reamey."
18,2012,"Professional Android sensor programming [electronic resource] / Greg Milette, Adam Stroud."
19,2009,iPhone SDK 3 programming [electronic resource] : advanced mobile development for Apple iPhone and iPod touch / Maher Ali.
20,2006,"PHP programming with PEAR [electronic resource] : XML, data, dates, web services, and web APIs / Stephan Schmidt ... [et al.] ; reviewers, Lukas Smith, Shu-Wai Chow, Arnaud Limbourg."
21,2005,Struts design and programming [electronic resource] : a tutorial / Budi Kurniawan.
22,2007,Microsoft Outlook 2007 programming [electronic resource] : jumpstart for administrators and power users / Sue Mosher.
23,2004,Expert .NET 1.1 programming [electronic resource] / Simon Robinson.
24,2003,Professional ATL COM programming [electronic resource] / Richard Grimes.
25,2002,"Sun ONE Studio programming [electronic resource] / Rashim Mogha, Ruchi Bhargava."
26,2002,ADO and ADO.NET programming [electronic resource] / Mike Gunderloy.
27,2001,"Programming Itanium-based systems [electronic resource] / Walter Triebel, Joseph D. Bissell, and Rick Booth."
28,2002,Java database programming bible [electronic resource] / John O'Donahue ; [with contributions by Andrew X. Yang and Kunal Mittal].
29,2001,Database programming with VB.NET [electronic resource] / Carsten Thomsen.
30,2014,"Beginning iOS programming for dummies [electronic resource] / by Rajiv Ramnath and Cheyney Loffing ; technical editor, Cheyney Loffing."
31,2013,Android game programming for dummies [electronic resource] / Derek James.
32,2011,"Programming reactive extensions and LINQ [electronic resource] / Jesse Liberty, Paul Betts ; technical reviewer, Stefan Turalski."
33,2010,"Object-oriented programming in ColdFusion [electronic resource] / Matt Gifford ; reviewer, Raymond Camden."
34,2009,"Spring 2.5 aspect-oriented programming [electronic resource] : create dynamic, feature-rich, and robust enterprise applications using the Spring framework / Massimiliano Dessi ; reviewer, Stefano Sanna."
35,2015,Learning object-oriented programming in C# 5.0 [electronic resource] / B.M. Harwani.
36,2015,"Swift game programming for absolute beginners / Arjan Egges ; technical reviewer, Stefan Kaczmarek."
37,2012,"Pushing the limits with iOS 5 programming [electronic resource] : advanced application development for Apple iPhone, iPad, and iPod Touch / Rob Napier, Mugunth Kumar ; technical editor, Mithilesh Kumar."
38,2012,"Game and graphics programming for iOS and Android with OpenGL ES 2.0 [electronic resource] / Romain Marucchi-Foino ; technical editor, Effie C. Lee."
39,2011,"Professional iPhone and iPad database application programming [electronic resource] / Patrick Alessi ; technical editor, Michael Gilbert."
40,2011,Professional iPhone and iPad database application programming / Patrick Alessi.
41,2011,"Windows Phone 7 programming for Android and iOS developers [electronic resource] / Zhinan Zhou ... [et al.] ; technical editor, John Mueller."
42,2010,Beginning iPhone SDK programming with Objective-C [electronic resource] / Wei-Meng Lee.
43,2010,"Professional iPhone programming with MonoTouch and .NET/C# [electronic resource] / Wallace B. McClure ... [et al.] ; technical editors: Alex York, John Mandia, Jim Zimmerman."
44,2010,Beginning Mac OS X Snow Leopard programming [electronic resource] / Michael Trent and Drew McCormack.
45,2009,Rational Application Developer V7.5 programming guide [electronic resource] / Henry Cui ... [et al.].
46,2015,"Swift OS X programming for absolute beginners / Wallace Wang ; technical reviewer, Bruce Wade."
47,2012,Going mobile : developing apps for your library using basic HTML programming / Scott La Counte.
48,2007,Rational Application Developer V7 programming guide [electronic resource] / Ueli Wahli ... [et al.].
49,2011,"Professional augmented reality browsers for smartphones [electronic resource] : programming for Junaio, Layar and Wikitude / Lester Madden ; technical editor, Nitin Samani."
50,2005,Rational Application Developer V6 programming guide [electronic resource] / John Ganci ... [et al.].
51,2010,"Pro dynamic .NET 4.0 applications [electronic resource] : data-driven programming for the .NET Framework / Carl Ganz, Jr. ; technical reviewer, Ryan Follmer."
